Company Name,Ticker,TrailingPER,ForwardPER,EPSGrowth,ROE,PayoutRatio,MarketCap,Sector,Beta,DebtToEquity
Darden Restaurants,DRI,20.045979,16.881163,0.36,0.53718,0.5747,23762020352.0,Consumer Cyclical,0.59,364.507
Datadog,DDOG,459.84,77.3238,14.985,0.04696,0.0,82558525440.0,Technology,1.488,29.259
DaVita,DVA,15.594572,10.658317,0.558,0.88475,0.0,11730268160.0,Healthcare,0.83,1241.986
Deckers Brands,DECK,11.156472,9.42032,0.011,0.42558,0.0,10680742912.0,Consumer Cyclical,1.15,20.521
Deere & Company,DE,38.084076,30.121647,0.074,0.18242,0.36020002,184421072896.0,Industrials,0.911,230.298
Delta Air Lines,DAL,13.20398,9.301543,-0.254,0.20125,0.1244,52359946240.0,Industrials,1.291,96.649
Devon Energy,DVN,10.567391,9.067185,0.44,0.11522,0.22610001,53471002624.0,Energy,0.426,28.488
Dexcom,DXCM,35.316204,28.600603,0.436,0.38491002,0.0,33717184512.0,Healthcare,1.419,53.346
Diamondback Energy,FANG,36.58175,10.303807,1.795,0.034930002,0.79050004,53881405440.0,Energy,0.414,28.678
Digital Realty,DLR,88.83903,65.9129,-0.587,0.02912,2.3805,68780113920.0,Real Estate,1.037,67.944
Dollar General,DG,15.897404,14.813587,0.333,0.19692,0.3065,27005702144.0,Consumer Defensive,0.235,169.811
Dollar Tree,DLTR,13.720589,14.158136,1.972,0.46032003,0.0,21007089664.0,Consumer Defensive,0.662,223.945
Dominion Energy,D,22.0,16.664003,-0.58,0.08281,0.9239,55920263168.0,Utilities,0.622,160.459
DoorDash,DASH,101.01571,23.691092,-0.3,0.088870004,0.0,83600506880.0,Consumer Cyclical,1.788,33.276
Dover Corporation,DOV,22.662634,16.1177,0.141,0.14914,0.2515,25241767936.0,Industrials,1.146,42.316
D. R. Horton,DHI,13.157293,11.779004,-0.048,0.12632,0.1668,38604369920.0,Consumer Cyclical,1.371,29.451
DTE Energy,DTE,20.303318,15.364715,0.224,0.1103,0.72550005,26743478272.0,Utilities,0.388,229.06
Duke Energy,DUK,17.700302,16.388779,0.106,0.098570004,0.6416,91638398976.0,Utilities,0.364,162.155
DuPont,DD,55.3691,16.1976,1.496,0.01792,1.3003999,17421893632.0,Basic Materials,1.085,22.902
Eaton Corporation,ETN,43.211597,26.328268,-0.159,0.19684,0.43580002,164980670464.0,Industrials,1.168,105.059
eBay Inc.,EBAY,23.495796,16.639835,0.55,0.46611,0.2521,49768800256.0,Consumer Cyclical,1.339,153.012
Ecolab,ECL,36.21774,28.616241,0.033,0.21956,0.3812,75537342464.0,Basic Materials,0.89,138.023
Edison International,EIX,5.707947,8.505436,0.551,0.19734,0.35709998,21284061184.0,Utilities,0.614,228.042
