"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","10,144.02","10,144.02","10,144.02","10,033.28","","0.15%"
"11/28/2025","10,128.58","10,128.58","10,129.05","10,064.16","","0.50%"
"11/27/2025","10,078.13","10,078.13","10,079.77","9,996.54","","0.80%"
"11/26/2025","9,998.30","9,998.30","10,019.89","9,950.55","","0.48%"
"11/25/2025","9,950.81","9,950.81","9,950.81","9,802.98","","1.51%"
"11/24/2025","9,802.98","9,802.98","9,870.86","9,801.16","","-0.24%"
"11/21/2025","9,826.58","9,826.58","9,827.88","9,716.08","","0.25%"
"11/20/2025","9,802.08","9,802.08","9,959.21","9,802.08","","-0.72%"
"11/19/2025","9,873.59","9,873.59","9,990.78","9,809.37","","0.65%"
"11/18/2025","9,809.37","9,809.37","9,904.47","9,697.23","","-0.96%"
"11/17/2025","9,904.47","9,904.47","9,933.37","9,603.02","","3.14%"
"11/14/2025","9,603.02","9,603.02","9,710.38","9,558.82","","-1.11%"
"11/13/2025","9,710.38","9,710.38","9,937.44","9,710.38","","-1.85%"
"11/12/2025","9,893.86","9,893.86","9,902.54","9,710.83","","1.88%"
"11/11/2025","9,710.83","9,710.83","9,734.82","9,614.45","","0.52%"
"11/10/2025","9,660.17","9,660.17","9,732.53","9,605.06","","0.57%"
"11/07/2025","9,605.06","9,605.06","9,623.70","9,450.06","","1.54%"
"11/06/2025","9,459.59","9,459.59","9,506.23","9,432.13","","0.29%"
"11/05/2025","9,432.13","9,432.13","9,449.00","9,322.90","","1.17%"
"11/04/2025","9,322.90","9,322.90","9,511.78","9,319.39","","-1.99%"
"11/03/2025","9,511.78","9,511.78","9,535.66","9,424.91","","0.88%"
"10/30/2025","9,428.89","9,428.89","9,448.35","9,317.04","","1.10%"
"10/29/2025","9,326.50","9,326.50","9,326.50","9,232.17","","1.02%"
"10/28/2025","9,232.17","9,232.17","9,261.38","9,193.00","","0.27%"
"10/27/2025","9,207.64","9,207.64","9,309.69","9,184.41","","0.25%"
"10/24/2025","9,184.41","9,184.41","9,248.97","9,149.64","","0.38%"
"10/23/2025","9,149.64","9,149.64","9,156.34","9,049.45","","1.11%"
"10/22/2025","9,049.45","9,049.45","9,119.46","9,018.83","","-0.72%"
"10/21/2025","9,114.74","9,114.74","9,187.07","9,111.44","","-0.49%"
"10/20/2025","9,159.75","9,159.75","9,186.74","9,129.98","","0.33%"
"10/17/2025","9,129.98","9,129.98","9,129.98","9,067.60","","0.20%"
"10/16/2025","9,112.15","9,112.15","9,203.52","9,088.72","","0.00%"
"10/15/2025","9,112.58","9,112.58","9,112.66","9,013.34","","1.10%"
"10/14/2025","9,013.34","9,013.34","9,013.34","8,774.10","","2.49%"
"10/13/2025","8,794.53","8,794.53","8,795.38","8,675.80","","1.37%"
"10/10/2025","8,675.80","8,675.80","8,837.99","8,669.18","","-1.62%"
"10/09/2025","8,818.68","8,818.68","8,970.28","8,769.55","","-1.02%"
"10/08/2025","8,909.39","8,909.39","8,909.39","8,818.55","","0.90%"
"10/07/2025","8,829.98","8,829.98","8,856.91","8,809.03","","-0.03%"
"10/06/2025","8,832.48","8,832.48","8,902.42","8,811.22","","-0.65%"
"10/03/2025","8,890.29","8,890.29","8,933.95","8,860.74","","-0.11%"
"10/02/2025","8,899.67","8,899.67","8,957.10","8,862.80","","-0.44%"
"10/01/2025","8,939.37","8,939.37","9,029.55","8,936.79","","-0.35%"
"09/30/2025","8,970.68","8,970.68","9,031.15","8,952.43","","-0.29%"
"09/29/2025","8,996.57","8,996.57","9,088.67","8,996.57","","-0.29%"
"09/26/2025","9,023.05","9,023.05","9,082.69","9,023.05","","-0.19%"
"09/25/2025","9,040.46","9,040.46","9,115.33","9,009.15","","-0.82%"
"09/24/2025","9,114.79","9,114.79","9,192.99","9,081.13","","-0.35%"
"09/23/2025","9,146.80","9,146.80","9,158.92","9,092.96","","0.33%"
"09/22/2025","9,116.93","9,116.93","9,116.93","8,973.81","","1.22%"
"09/17/2025","9,007.14","9,007.14","9,095.20","9,007.14","","-0.65%"
"09/16/2025","9,066.03","9,066.03","9,116.15","9,037.23","","-0.25%"
"09/15/2025","9,088.53","9,088.53","9,112.75","8,989.75","","1.10%"
"09/12/2025","8,989.75","8,989.75","9,176.53","8,986.18","","-1.77%"
"09/11/2025","9,151.39","9,151.39","9,151.39","8,973.69","","1.98%"
"09/10/2025","8,973.69","8,973.69","9,013.10","8,961.09","","-0.13%"
"09/09/2025","8,985.16","8,985.16","9,089.29","8,942.92","","-1.15%"
"09/08/2025","9,089.29","9,089.29","9,237.72","9,082.23","","-1.32%"
"09/05/2025","9,210.68","9,210.68","9,285.05","9,175.32","","0.39%"
"09/04/2025","9,175.32","9,175.32","9,175.32","9,047.78","","1.24%"
"09/03/2025","9,062.92","9,062.92","9,071.99","8,960.60","","0.79%"
"09/02/2025","8,991.50","8,991.50","8,991.56","8,868.55","","0.78%"
"09/01/2025","8,922.00","8,922.00","8,930.74","8,889.87","","0.25%"
"08/29/2025","8,899.91","8,899.91","8,941.57","8,899.51","","-0.24%"
"08/28/2025","8,920.99","8,920.99","8,920.99","8,866.75","","0.41%"
"08/27/2025","8,884.47","8,884.47","8,899.08","8,821.76","","0.65%"
"08/26/2025","8,827.00","8,827.00","8,897.76","8,767.49","","-0.63%"
"08/25/2025","8,883.36","8,883.36","8,938.20","8,854.26","","0.33%"
"08/22/2025","8,854.26","8,854.26","8,854.61","8,725.72","","1.47%"
"08/21/2025","8,725.72","8,725.72","8,745.19","8,683.66","","0.48%"
"08/20/2025","8,683.66","8,683.66","8,736.84","8,654.45","","-0.61%"
"08/19/2025","8,736.84","8,736.84","8,840.21","8,736.84","","-1.02%"
"08/18/2025","8,827.17","8,827.17","8,850.10","8,739.42","","1.00%"
"08/14/2025","8,739.42","8,739.42","8,752.17","8,655.81","","0.02%"
"08/13/2025","8,737.86","8,737.86","8,740.11","8,585.60","","1.77%"
"08/12/2025","8,585.60","8,585.60","8,624.33","8,581.18","","-0.07%"
"08/11/2025","8,591.50","8,591.50","8,649.22","8,520.53","","0.83%"
"08/08/2025","8,520.53","8,520.53","8,520.66","8,360.90","","1.91%"
"08/07/2025","8,360.90","8,360.90","8,360.90","8,247.31","","1.38%"
"08/06/2025","8,247.31","8,247.31","8,268.73","8,195.17","","0.64%"
"08/05/2025","8,195.17","8,195.17","8,240.89","8,179.22","","-0.18%"
"08/04/2025","8,209.84","8,209.84","8,220.50","8,161.33","","0.59%"
"08/01/2025","8,161.33","8,161.33","8,186.09","8,140.93","","-0.30%"
"07/31/2025","8,186.09","8,186.09","8,186.96","8,092.84","","0.80%"
"07/30/2025","8,121.45","8,121.45","8,175.06","8,118.30","","0.00%"
"07/29/2025","8,121.42","8,121.42","8,122.54","8,037.78","","0.58%"
"07/28/2025","8,074.31","8,074.31","8,221.90","8,074.31","","-1.80%"
"07/25/2025","8,221.90","8,221.90","8,221.96","8,141.82","","0.98%"
"07/24/2025","8,141.82","8,141.82","8,190.51","8,137.12","","0.01%"
"07/23/2025","8,140.70","8,140.70","8,140.70","8,084.43","","0.27%"
"07/22/2025","8,118.91","8,118.91","8,185.77","8,118.29","","-0.08%"
"07/21/2025","8,125.16","8,125.16","8,228.21","8,123.96","","-0.73%"
"07/18/2025","8,184.50","8,184.50","8,227.61","8,155.12","","-0.32%"
"07/17/2025","8,210.46","8,210.46","8,233.44","8,152.47","","0.71%"
"07/15/2025","8,152.47","8,152.47","8,237.85","8,139.26","","-0.99%"
"07/14/2025","8,233.73","8,233.73","8,254.54","8,213.41","","0.02%"
"07/11/2025","8,231.92","8,231.92","8,343.68","8,225.22","","-1.34%"
"07/10/2025","8,343.68","8,343.68","8,344.90","8,307.34","","0.17%"
"07/09/2025","8,329.49","8,329.49","8,336.79","8,301.20","","0.15%"
"07/08/2025","8,316.74","8,316.74","8,338.44","8,256.55","","0.73%"
"07/07/2025","8,256.55","8,256.55","8,285.29","8,217.06","","-0.35%"
"07/04/2025","8,285.29","8,285.29","8,304.35","8,268.55","","-0.06%"
"07/03/2025","8,290.26","8,290.26","8,305.89","8,248.59","","0.26%"
"07/02/2025","8,268.45","8,268.45","8,296.65","8,211.83","","0.69%"
"07/01/2025","8,211.83","8,211.83","8,291.46","8,208.77","","-0.43%"
"06/30/2025","8,247.57","8,247.57","8,248.18","8,166.70","","0.42%"
"06/27/2025","8,213.08","8,213.08","8,213.61","8,140.08","","0.44%"
"06/26/2025","8,176.94","8,176.94","8,213.48","8,140.84","","0.44%"
"06/25/2025","8,140.84","8,140.84","8,170.87","8,119.80","","-0.09%"
"06/24/2025","8,148.15","8,148.15","8,166.24","8,029.71","","1.48%"
"06/23/2025","8,029.71","8,029.71","8,077.48","7,943.88","","-0.59%"
"06/19/2025","8,077.48","8,077.48","8,108.06","8,033.62","","-0.11%"
"06/18/2025","8,086.72","8,086.72","8,091.57","8,048.23","","-0.06%"
"06/17/2025","8,091.57","8,091.57","8,165.29","8,082.42","","-0.90%"
"06/16/2025","8,165.29","8,165.29","8,253.10","8,165.10","","-0.54%"
"06/13/2025","8,209.92","8,209.92","8,269.44","8,177.42","","-0.72%"
"06/12/2025","8,269.44","8,269.44","8,336.53","8,265.53","","-0.61%"
"06/11/2025","8,320.11","8,320.11","8,361.63","8,227.18","","1.13%"
"06/10/2025","8,227.18","8,227.18","8,228.87","8,163.73","","0.67%"
"06/09/2025","8,172.55","8,172.55","8,196.60","8,166.07","","0.03%"
"06/06/2025","8,170.04","8,170.04","8,195.22","8,140.01","","0.30%"
"06/05/2025","8,145.59","8,145.59","8,190.56","8,145.59","","-0.30%"
"06/04/2025","8,169.98","8,169.98","8,233.75","8,111.76","","0.71%"
"06/03/2025","8,112.07","8,112.07","8,129.62","8,021.59","","0.78%"
"06/02/2025","8,048.93","8,048.93","8,092.52","8,027.46","","0.02%"
"05/30/2025","8,047.51","8,047.51","8,202.00","8,047.51","","-1.77%"
"05/29/2025","8,192.18","8,192.18","8,278.82","8,182.86","","-0.63%"
"05/28/2025","8,244.52","8,244.52","8,372.66","8,244.35","","-1.28%"
"05/27/2025","8,351.79","8,351.79","8,404.47","8,344.98","","-0.46%"
"05/26/2025","8,390.20","8,390.20","8,445.13","8,367.39","","-0.11%"
"05/23/2025","8,399.59","8,399.59","8,400.28","8,311.17","","0.38%"
"05/22/2025","8,367.62","8,367.62","8,418.33","8,350.81","","-0.60%"
